manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,Golf,e-Golf,85,24.09.2018,72576,92.0,10.42,Electricity,Summer tires,0,1,0,Moderate,14.0,0,1,50.0,-2.8000000000000007,
Volkswagen,Golf,e-Golf,85,22.09.2018,72484,87.0,10.87,Electricity,Summer tires,0,1,0,Normal,12.7,0,0,62.0,-4.100000000000001,
Volkswagen,Golf,e-Golf,85,21.09.2018,72397,74.0,12.09,Electricity,Summer tires,0,1,0,Normal,13.5,0,0,80.0,-3.3000000000000007,
Volkswagen,Golf,e-Golf,85,21.09.2018,72323,18.0,12.83,Electricity,Summer tires,0,1,0,Normal,12.6,0,0,68.0,-4.200000000000001,
Volkswagen,Golf,e-Golf,85,21.09.2018,72305,68.0,0.56,Electricity,Summer tires,0,1,1,Normal,13.3,0,0,69.0,-3.5,
Volkswagen,Golf,e-Golf,85,20.09.2018,72237,99.0,8.97,Electricity,Summer tires,0,1,0,Normal,13.1,0,0,76.0,-3.700000000000001,
Volkswagen,Golf,e-Golf,85,20.09.2018,72138,24.0,6.5,Electricity,Summer tires,0,1,0,Moderate,11.0,0,0,32.0,-5.800000000000001,
Volkswagen,Golf,e-Golf,85,20.09.2018,72114,86.0,10.97,Electricity,Summer tires,0,1,0,Moderate,12.3,0,0,73.0,-4.5,
Volkswagen,Golf,e-Golf,85,19.09.2018,72028,16.0,1.12,Electricity,Summer tires,0,1,0,Moderate,11.9,0,0,59.0,-4.9,
Volkswagen,Golf,e-Golf,85,19.09.2018,72012,72.0,13.22,Electricity,Summer tires,0,1,0,Moderate,12.1,0,0,75.0,-4.700000000000001,
Volkswagen,Golf,e-Golf,85,19.09.2018,71940,101.0,10.97,Electricity,Summer tires,0,1,0,Moderate,12.3,0,0,57.0,-4.5,
Volkswagen,Golf,e-Golf,85,18.09.2018,71839,71.0,11.96,Electricity,Summer tires,0,1,0,Normal,12.2,0,0,80.0,-4.600000000000001,
Volkswagen,Golf,e-Golf,85,18.09.2018,71768,117.0,10.42,Electricity,Summer tires,0,1,1,Moderate,12.2,0,0,70.0,-4.600000000000001,
Volkswagen,Golf,e-Golf,85,17.09.2018,71651,57.0,13.58,Electricity,Summer tires,0,1,1,Moderate,12.3,0,0,58.0,-4.5,
